;url;offer_name;company;company_size;job_location;salary_1;salary_1_description;salary_2;salary_2_description;salary_bonus;seniority_1;seniority_2;job_description;must_have;nice_to_have;integration_tests;unit_tests;tester;agile_management;issue_tracking_tool;knowledge_repository;code_reviews;static_code_analysis;version_control_system;build_server;qa_manager;distributed_team;research_and_experimentation;pair_programming;workshops;e2e_tests;commit_on_the_first_day;one_command_build_possible;up_and_running_within_2h;high_level_and_low_level_designs;feature_development_and_porting;regression_testing;uat_testing;agile_testing;manual_tests;database;virtualization;cloud_infrastructure;databases;network_virtualization;provisioning;networking_hardware;security;application_stack;operating_system;computer;monitors;job_profile;start;contract_duration;paid_holiday;part_time_work;remote_possible;flexible_hours;travel_involved;freedom_to_choose_tools;relocation_package;remote_work;open_minded_developers_in_team;work_with_international_client;perks_in_the_office;benefits
0;https://nofluffjobs.com/job/data-engineer-wikipedia-objectstyle-warszawa-gyghqyga;Data Engineer - Wikipedia;ObjectStyle;70+ people;Warszawa;80 - 130 PLN;+ vat (B2B) per hour;12000 - 18000 PLN;gross (employment contract) per month;;Mid;Senior;We’re searching for a talented Data Engineer to join a Research Team (https://research.wikimedia.org/team.html) of one of our clients - Wikimedia Foundation. Unique scale (200k RPS), challenges and world class specialists are waiting for you.;Linux, hadoop, spark, nosql, English;Scala, machine learning;;;;;;Wiki;;;GIT;;;Yes;Yes;;;;;;;;;;;;;;;;;;;;;;apple;Workstation;If needed;;ASAP;Permanent contract;B2B - No;No;Yes (4 days a week);Yes;No;Yes;;;;;Free coffee, Bike parking, Shower, No dress code, No open space, City center;International projects, Socially important project, 500PLN monthly benefits package
1;https://nofluffjobs.com/job/senior-devops-engineer-expondo-polska-sp-k-warsaw-k5wnzqcl;Senior DevOps Engineer;expondo Polska Sp. z o.o. Sp.k.;200 people;Warsaw, Zielona góra;12000 - 20000 PLN;gross (employment contract) per month;;;;Senior;;We are in a very early state in this area and this is a unique opportunity for someone with a great experience that has the abilities to design and implement processes, latest technologies and best practices.;Linux, Docker, Shell, Git, Apache, Azure, English, Team player;Jenkins, Nginx, Virtualization, Communication skills, Critical thinking, Problem solving;;;;Scrum, Kanban;Jira;Confluence, GitHub;;;GIT;;;;;;;;;;;;;;;;;MySQL;Docker;Azure;MySQL;;;;;Apache;windows;Workstation;Two;Mainly new features;ASAP;Permanent contract;Yes;No;Yes (2 days a week);Yes;some;No;;;;;Free coffee, Bike parking, Shower, Free snacks, Free parking, In-house trainings, Modern office, No dress code;Training budget, Private healthcare, Small teams, English lessons, Multisport, Friendly atmosphere, Impact on project
2;https://nofluffjobs.com/job/audio-algorithm-optimisation-engineer-seven-sensing-software-warszawa-w5yzjk3u;Audio Algorithm & Optimisation Engineer;Seven Sensing Software;40+ people;Warszawa;12000 - 17000 PLN;+ vat (B2B) per month;12000 - 15000 PLN;gross (employment contract) per month;;Mid;Senior;We are looking for a talented and experienced optimisation engineer, interested in IoT and Machine Learning on mobile platforms and on the edge. You should have the grit to crush down footprints and MIPS of existing software libraries, for platforms such as ARM, HiFi, Kalimba, ADSP and Broadcom.;DSP, fix-point arithmetic, assembler, embedded, English;machine learning, Team player, Communication skills;Performance testing;google-test;;Scrum, Kanban, Agile;Jira;Confluence, SharePoint;Bitbucket;Cppcheck;GIT;Jenkins;;;;;;;;;;;;;;;;;;;;;;;;;apple, windows, linux;Notebook;Two;Mainly new features;ASAP;Permanent contract;B2B - No;No;Yes (1 day a week);Yes;some;Yes;;;;;Free coffee, Canteen, Bike parking, Playroom, Modern office, Startup atmosphere, No dress code;Sport subscription, Training budget, Private healthcare, Flat structure, Small teams, International projects
3;https://nofluffjobs.com/job/junior-test-engineer-cpl-jobs-warszawa-5ogmvgze;Junior Test Engineer;CPL Jobs;500+ people;Warszawa;7000 - 8000 PLN;gross (employment contract) per month;;;;Junior;;;Oracle DB, MS SQL, Database, MySQL, Linux, English, Team player, Communication skills;Shell;;;;Scrum;Jira, HPQC, HP ALM;;;;;Jenkins;;;;;;;;;;;;;;;;;;;;;;;;;linux;;;Mainly new features;ASAP;Permanent contract;Yes;No;Yes (2 days a week);Yes;No;No;;;;;No dress code;Training budget, Private healthcare, Small teams, International projects
4;https://nofluffjobs.com/job/full-stack-developer-rtb-house-warsaw-sujtcems;Full Stack Developer;RTB House;500+ people;Warsaw, Kraków;16800 - 25500 PLN;+ vat (B2B) per month;;;;Mid;Senior;Due to the COVID-19 pandemic our recruitment process is now conducted remotely. The same applies to the onboarding and to the work itself. We all work from home until further notice.;HTML/CSS;Flask, React.JS, Vue/Semantic./Element, Polish;Yes;Yes;;Kanban;Trello;Github;Yes;;GIT;Jenkins;;;;;;;Yes;Yes;Yes;;;;;;;;;;;;;;;;linux;Workstation;"24""-25' usually  3 but sky is the limit";;ASAP;Permanent contract;No;80 %;Yes (2 days a week);Yes;No;Yes;;;;;Free coffee, Canteen, Bike parking, Playroom, Shower, Free snacks, Free beverages, In-house trainings, Startup atmosphere, No dress code, Kitchen, Play room;Training budget, Flat structure, Small teams, International projects, In-house trainings, Team Events
5;https://nofluffjobs.com/job/senior-big-data-engineer-rtb-house-warsaw-fshpvjeu;Senior Big Data Engineer;RTB House;500+ people;Remote, Warsaw, Kraków;16800 - 29400 PLN;+ vat (B2B) per month;;;;Senior;Expert;Due to the COVID-19 pandemic our recruitment process is now conducted remotely. The same applies to the onboarding and to the work itself.;DevOps, Complex IT Systems, Strong Coding Skills, Distributed Systems, Scalability, Clean Code;Jenkins, Docker, Linux, Elasticsearch, Big Data, Apps profiling, Kafka, Hadoop, Concurrent Programming, High Scalability, High Availability, Graphite, Polish;80% Coverage;80% Coverage;;Scrumban mix;Trello;DokuWiki;Gerrit;checkstyle, pmd, pep8;GIT;Jenkins;;;;;;;Yes;Yes;Yes;;;;;;;;;;;;;;;;linux;Workstation;"24"" - 25"" up to 3 or even more";;ASAP;Permanent contract;No;80 %;Fully remote;Yes;No;Yes;;;;;Free coffee, Canteen, Bike parking, Shower, Free snacks, Free beverages, In-house trainings, Startup atmosphere, No dress code, Kitchen, Play room;Training budget, Flat structure, Small teams, International projects, In-house trainings, Team Events
6;https://nofluffjobs.com/job/machine-learning-researcher-rtb-house-warsaw-j70uhnif;Machine Learning Researcher;RTB House;500+ people;Warsaw, Kraków;21000 - 31500 PLN;+ vat (B2B) per month;;;;Senior;Expert;Due to the COVID-19 pandemic our recruitment process is now conducted remotely. The same applies to the onboarding and to the work itself. We all work from home until further notice.;Statistic, Probability, Good Coding Skills;Troch, PyTorch, NumPy, Pandas, Scala, Jupyter Notebooks, machine learning, Tensorflow, Polish, Deep Learning;Yes;Yes;;Kanban;Trello;DokuWiki;Gerrit;;GIT;Jenkins;;;;;;;Yes;Yes;Yes;;;;;;;;;;;;;;;;linux;Workstation;"24""-25"" up to 3 or even more";;ASAP;Permanent contract;No;80 %;Yes (2 days a week);Yes;No;Yes;;;;;Free coffee, Canteen, Bike parking, Playroom, Shower, Free snacks, Free beverages, Startup atmosphere, No dress code, Kitchen, Play room;Training budget, Flat structure, International projects, In-house trainings, Team Events
7;https://nofluffjobs.com/job/machine-learning-engineer-rtb-house-warsaw-jac7wgsx;Machine Learning Engineer;RTB House;500+ people;Warsaw, Kraków;21000 - 31500 PLN;+ vat (B2B) per month;;;;Senior;Expert;Due to the COVID-19 pandemic our recruitment process is now conducted remotely. The same applies to the onboarding and to the work itself. We all work from home until further notice.;Good Coding Skills, Critical thinking, Problem solving, design thinking;Spark, Kafka, Experience in programming with GPU, Big Data, GPU Programming, PyTorch, TensorFlow, Scala, Hadoop, Google Cloud Platform, BigQuery, Pandas, Numpy, Flink, Polish;Yes;Yes;;Kanban;Trello;DokuWiki;Gerrit;;GIT;Jenkins;;;;;;;Yes;Yes;Yes;;;;;;;;;;;;;;;;linux;Workstation;"24""-25"" up to 3 or even more";;ASAP;Permanent contract;No;80 %;Yes (2 days a week);Yes;No;Yes;;;;;Free coffee, Canteen, Bike parking, Playroom, Shower, Free snacks, Free beverages, Startup atmosphere, No dress code, Kitchen, Play room;Training budget, Flat structure, International projects, In-house trainings, Team Events
8;https://nofluffjobs.com/job/devops-cloud-engineer-talent-hills-warszawa-xgj9k3pa;DevOps/Cloud Engineer;Talent Hills;40+ people;Warszawa, Kraków, Wrocław;10000 - 18000 PLN;gross (employment contract) per month;;;;Mid;Senior;"Szukamy DevOps/Cloud Engineer do stabilnej, międzynarodowej firmy z branży Hi-Tech. Szukamy osób zainteresowanych rozwojem w  kierunku infrastruktury devopsowej, i obszarem Cloud.
Proces rekrutacyjny oraz praca codzienna obecnie odbywa się w 100% zdalnie.";Linux, Docker, English, Critical thinking, Problem solving;Go, Kubernetes, DPDK, Kernel;;;;Yes;;GitHub;;;GIT;;;;;;;;;;;;;;;;;MySQL, PostgreSQL;Docker;Yes;MySQL, PostgreSQL;SDN;Ansible, Puppet;;;;linux;Notebook;Two;Mainly new features;ASAP;Permanent contract;Yes;80 %;No;Yes;No;No;Yes;;;;Free coffee, Canteen, Bike parking, Playroom, Free snacks, Modern office, No dress code;Sport subscription, Private healthcare, Lunch card, International projects
9;https://nofluffjobs.com/job/qa-engineer-cic-poland-warsaw-mzlyyjgl;QA Engineer;CIC Poland Sp. z o.o.;300 people;Warsaw;12000 PLN;gross (employment contract) per month;;;;Mid;Senior;As part of our Global Software Engineering Team, you will be working along 6 developers on core projects to continuously improve the quality of our software products: new operational system for CIC worldwide, portal for our clients, wide selection of tools supporting our core operations and teams;Selenium, JIRA, English, Team player, Communication skills, Critical thinking, Problem solving, Proactivity;Jenkins, Docker, TestNG, Zalenium Grid;Reasonable coverage, API testing;90% coverage;;Scrum;Jira;Confluence;Bitbucket;mypy;GIT;Jenkins;;;;;;;;;;;;;;;;;;;;;;;;;apple;Notebook;Two;Mainly new features;ASAP;Permanent contract;Yes;No;Yes (1 day a week);Yes;some;No;;;;;Free coffee, Playroom, Shower, Free snacks, Free beverages, Mobile phone, Modern office, Startup atmosphere, No dress code;Sport subscription, Training budget, Private healthcare, Flat structure, Small teams, International projects
10;https://nofluffjobs.com/job/python-developer-cic-poland-warsaw-gmjuz2zv;Python Developer;CIC Poland Sp. z o.o.;300 people;Warsaw;12000 PLN;gross (employment contract) per month;;;;Mid;;As part of our CIC’s Global Software Engineering Team, you will be working along with 6 other developers on our core projects: new operational system for CIC worldwide, portal for our clients, wide selection of tools supporting our core operations and teams.;Git, Docker, English, Team player, Communication skills, Critical thinking, Problem solving, Proactivity;PostgreSQL, Flask, Celery, Redis, Kubernetes, Google Cloud, Unit test, MySQL;Reasonable coverage, API testing;90% coverage;;Scrum;Jira;Confluence;Bitbucket;mypy;GIT;Jenkins;;;;;;;;;;;;;;;;;;;;;;;;;apple;Notebook;Two;Mainly new features;ASAP;Permanent contract;Yes;No;Yes (1 day a week);Yes;some;No;;;;;Free coffee, Bike parking, Playroom, Shower, Free snacks, Free beverages, Mobile phone, Modern office, Startup atmosphere, No dress code;Sport subscription, Training budget, Private healthcare, Flat structure, Small teams, International projects, Massages
11;https://nofluffjobs.com/job/backend-developer-cloud-best-warszawa-zg868ygf;Backend Developer;Cloud Best;40+ people;Warszawa;9500 - 12000 PLN;+ vat (B2B) per month;;;;Mid;;"Challenges for you:●Developing open source wallet and mining pool applications for a new cryptocurrency based on bitcoin protocol;●Designing the solution in cooperation with the developers’ team;●Implementing the solution – writing new code or modifying the existing one.";Linux, Git, English, Team player, Communication skills, Problem solving;;Yes;;;;Jira, Trello, Github;;GitLab, GitHub;;GIT;;;;;Yes;;;;;;;;;;;;;;;;;;;;;windows, linux;Notebook;If needed;Mainly new features;ASAP;Permanent contract;Yes;No;No;Yes;No;No;;;;;Free coffee, Shower, Free parking, Modern office, Startup atmosphere, No dress code;Sport subscription, Private healthcare, International projects
12;https://nofluffjobs.com/job/senior-big-data-developer-develocraft-warszawa-fpfn5b5p;Senior Big Data Developer;Develocraft;60+ people;Warszawa;130 - 160 PLN;+ vat (B2B) per hour;;;;Senior;;We are looking for our client, an international IT company from the banking industry, we are looking for Senior Big Data Developer to enrich the team of experts.;Spark, Kafka, scala, Hadoop, Ansible, RDD/Dataframe/Dataset, API, HDFS, HBase, Splunk, jenkins, CI/CD, YARN, English, Team player, Communication skills, Problem solving;Akka;Yes;;;Yes;Yes;;;;Yes;Jenkins;;;;;;;;;;;;;;;;;;;;;;;;;windows, linux;Notebook;One;Mainly new features;ASAP;Permanent contract;No;No;Yes (1 day a week);Yes;No;No;;;;;Free coffee, Shower, Modern office;Private healthcare, International projects, Elastic benefit systems, Integration events, Friendly atmosphere
13;https://nofluffjobs.com/job/data-engineer-hadoop-developer-mindbox-warszawa-een1e00l;Data Engineer (Hadoop Developer);Mindbox;100+ people;Warszawa;800 - 1000 PLN;+ vat (B2B) per day;;;;Mid;;;Hadoop, Scala, Spark, Kafka, Hive;Azure, Flink, Spark Streaming;;;;Yes;Yes;Yes;;;;;;;;;;;;;;;;;;;;;;Yes;;;;;;;apple, linux;Workstation;If needed;Mainly new features;ASAP;Permanent contract;No;No;Yes (1 day a week);Yes;No;No;;;;;Modern office, No dress code;Training budget, Private healthcare, International projects
14;https://nofluffjobs.com/job/remote-senior-django-developer-asap-ironin-it-warszawa-phpwwuay;Remote Senior Django Developer ASAP;iRonin.IT;30+ people;Remote, Warszawa, Poznań, Kraków;16000 - 20000 PLN;+ vat (B2B) per month;;;;Senior;;"Projekt to platforma e-learningowa z dostępem do kursów, webinarów, artykułów.

Requirements:
- 5+ years full-time developing with Python and Django 
- some frontend skills 
- base knowledge of SQL, familiar with any NoSQL
- can configure a nix web server for Django project from scratch";PostgreSQL, Git, English;;;Yes;;;Jira;;;;GIT;;Yes;;;Yes;;;;;;;;;;;;;;;;;;;;;apple, linux;Notebook;If needed;Mainly new features;ASAP;Permanent contract;No;No;Fully remote;Yes;No;No;;;;;;Sport subscription, Training budget, Private healthcare, Flat structure, Small teams, International projects
15;https://nofluffjobs.com/job/senior-big-data-developer-ework-group-warszawa-fbixbte5;Senior Big Data Developer;Ework Group;100+ people;Warszawa;24000 - 32000 PLN;+ vat (B2B) per month;;;;Senior;Expert;For our client, an international IT company from banking industry, we realize a recruitment process on the position Senior Big Data Developer to the long-term project.;Spark, Kafka, Hadoop, Jenkins, HDFS, Hive, Yarn, Flume, Hbase, Cloudera, Splunk, English, Team player, Agile;Ansible, CI/CD, distributed systems, data partitioning/replication, Communication skills, Critical thinking, Problem solving;;;;Agile;Yes;;Yes;;;Jenkins;Yes;;;;;;;;;;;;;;;;;;;;;;;;windows, linux;Notebook;If needed;Mainly new features;ASAP;Permanent contract;No;No;Yes (1 day a week);Yes;No;No;;;;;Free coffee, Bike parking, In-house trainings, Modern office;Sport subscription, Private healthcare, Flat structure, International projects
