;must_have;nice_to_have;work_methodology;equipment_supplied;specs;perks_in_the_office;benefits;url
0;['Java', 'Spring', 'PostgreSQL', 'English', 'Team player', 'Communication skills', 'Critical thinking', 'Problem solving'];['Jenkins', 'Docker', 'React', 'Redux', 'Bootstrap', 'Kubernetes', 'Nexus'];['Integration tests', 'Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Static code analysis', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Modern office', 'Startup atmosphere', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'Small teams', 'International projects'];https://nofluffjobs.com/job/senior-backend-developer-winged-it-warsaw-7ao7odh0
1;['Java', 'English'];['Docker', 'Kubernetes', 'Solr'];['Integration tests', 'QA manager', 'Unit tests', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Version control system', 'Build server'];['Operating System', 'Computer'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Shower', 'No open space'];['International projects', '500 PLN per month as benefits package'];https://nofluffjobs.com/job/java-engineer-search-technologies-objectstyle-warszawa-qugdnebv
2;['SQL', 'REST', 'Linux', 'hadoop', 'spark', 'nosql', 'English'];['Java', 'Python', 'Scala', 'javascript', 'machine learning'];['Knowledge repository', 'Version control system', 'Distributed team', 'Research and Experimentation'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Shower', 'No dress code', 'No open space', 'City center'];['International projects', 'Socially important project', '500PLN monthly benefits package'];https://nofluffjobs.com/job/data-engineer-wikipedia-objectstyle-warszawa-gyghqyga
3;['Java', 'Spring', 'Jenkins', 'Docker', 'MongoDB', 'English', 'Communication skills'];[];['Integration tests', 'Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Pair programming', 'Static code analysis', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Remote work'];['Flat structure', 'Small teams', 'International projects'];https://nofluffjobs.com/job/senior-java-developer-fully-remotely-winged-it-rfxmvcf4
4;['.NET', 'MVC', 'SQL Server', 'MS SQL', 'c#', 'EU Residency', 'ASP .NET', 'English', 'Team player', 'Communication skills', 'Problem solving', '3+ years of XP', 'Analytical Skills'];['WCF', 'WPF', 'Azure', 'REST', 'Web API', 'Websphere MQ', 'SOAP', 'Design Patterns', 'TDD', 'CI/CD', 'angular'];['Integration tests', 'Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Code reviews', 'Pair programming', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Relocation package', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Playroom', 'Shower', 'Modern office', 'No dress code', 'Kitchen', 'Play room'];['Sport subscription', 'Training budget', 'Flat structure', 'International projects', 'Conference budget', 'Team Events', 'Private health care', 'Pluralsight', 'Certificates'];https://nofluffjobs.com/job/net-developer-backend-next-it-poznan-dqtyamqx
5;['PHP', 'MySQL', 'Git', 'REST', 'Docker', 'Elasticsearch', 'Redis', 'angular', 'unit test', 'oop', 'laravel'];['ansible', 'devops'];['Unit tests', 'Issue tracking tool', 'Code reviews', 'Version control system'];['Operating System', 'Computer'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];[];['Small teams'];https://nofluffjobs.com/job/remote-senior-php-backend-developer-dommania-3pgrpd3o
6;['Java', 'Jenkins', 'Spring Boot', 'Microsoft SQL Server', 'Cloud'];['Cloud2'];['Integration tests', 'Unit tests', 'Agile management', 'Issue tracking tool'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Playroom', 'Shower', 'Modern office', 'No dress code'];['Sport subscription', 'Private healthcare', 'International projects'];https://nofluffjobs.com/job/senior-java-developer-prodata-consult-warsaw-fvjxgyr2
7;['Java', 'Spring', 'Hibernate', 'Communication skills', 'Critical thinking', 'Problem solving'];['Docker', 'Kubernetes', 'microservices'];['Integration tests', 'QA manager', 'Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Pair programming', 'Static code analysis', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Free snacks', 'Free beverages', 'Modern office', 'Startup atmosphere', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'International projects'];https://nofluffjobs.com/job/java-developer-itds-polska-warszawa-nlpme3ad
8;['Java', 'Spring', 'Hibernate', 'Java EE', 'SQL', 'Student/graduate of IT studies', 'Java 8', 'English', 'Polish', '2+ years of development experience'];['Maven', 'SOAP', 'XML', 'Agile'];['Tester(s)', 'Agile management', 'Issue tracking tool', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Modern office', 'No dress code'];['Sport subscription', 'Private healthcare', 'International projects'];https://nofluffjobs.com/job/java-developer-dahliamatic-warszawa-cgeqd8ls
9;['Python', 'Django', 'Linux', 'Git', 'REST', 'Flask', 'Unit tests', 'Relational and NoSQL databases', 'CI/CD', 'OOP and design patterns', 'English', 'Team player', 'Communication skills', 'Problem solving', 'Proactivity'];['Docker', 'Redis', 'AWS', 'Leadership skills'];['Integration tests', 'QA manager', 'Unit tests', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Pair programming', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'In-house hack days', 'Modern office', 'Startup atmosphere', 'No dress code'];['Flat structure', 'Small teams', 'International projects'];https://nofluffjobs.com/job/python-developer-ecumene-ventures-warsaw-uhtyrfh9
